Categoria: Todas as categorias

Semana,álcool em gel 70: (Brasil)
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,0
2020-03-01,6
2020-03-08,22
2020-03-15,100
2020-03-22,92
2020-03-29,15
2020-04-05,9
2020-04-12,13
2020-04-19,8
2020-04-26,0
2020-05-03,3
2020-05-10,0
2020-05-17,3
2020-05-24,0
2020-05-31,3
2020-06-07,0
2020-06-14,3
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,7
2020-07-19,0
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,3
2020-08-23,0
2020-08-30,0
2020-09-06,0
2020-09-13,0
2020-09-20,0
2020-09-27,4
2020-10-04,0
2020-10-11,4
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,4
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,4
2021-02-21,0
