Categoria: Todas as categorias

Semana,Máscara N95: (Brasil)
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,21
2020-03-01,0
2020-03-08,20
2020-03-15,100
2020-03-22,55
2020-03-29,73
2020-04-05,34
2020-04-12,24
2020-04-19,22
2020-04-26,0
2020-05-03,25
2020-05-10,6
2020-05-17,0
2020-05-24,17
2020-05-31,0
2020-06-07,6
2020-06-14,11
2020-06-21,6
2020-06-28,0
2020-07-05,0
2020-07-12,0
2020-07-19,12
2020-07-26,0
2020-08-02,0
2020-08-09,0
2020-08-16,0
2020-08-23,13
2020-08-30,0
2020-09-06,13
2020-09-13,0
2020-09-20,13
2020-09-27,7
2020-10-04,0
2020-10-11,7
2020-10-18,0
2020-10-25,7
2020-11-01,0
2020-11-08,7
2020-11-15,7
2020-11-22,0
2020-11-29,6
2020-12-06,0
2020-12-13,0
2020-12-20,8
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,28
2021-01-24,15
2021-01-31,30
2021-02-07,7
2021-02-14,29
2021-02-21,0
